,STN,YYYYMMDD,HH,DD,FH,FF,FX,T,T10N,TD,Q,SQ,VV,N,U,P
533,330,20240123,6,270,110,100,160,70,65.0,35,0,0,,,78,10228
534,330,20240123,7,270,100,90,150,66,,35,0,0,,,80,10231
535,330,20240123,8,250,70,70,110,66,,32,1,0,,,78,10241
536,330,20240123,9,220,70,60,120,64,,37,21,8,,,83,10248
537,330,20240123,10,220,80,80,120,75,,41,57,10,,,79,10247
538,330,20240123,11,210,80,80,120,77,,47,64,3,,,81,10243
539,330,20240123,12,200,80,70,120,83,56.0,48,74,6,,,78,10229
540,330,20240123,13,200,90,100,130,83,,55,32,0,,,82,10222
541,330,20240123,14,200,100,110,130,83,,64,19,0,,,87,10207
542,330,20240123,15,180,110,120,150,78,,67,10,0,,,92,10190
543,330,20240123,16,190,120,120,170,79,,66,3,0,,,91,10175
544,330,20240123,17,200,130,130,170,80,,72,0,0,,,94,10167
545,330,20240123,18,210,130,130,180,89,74.0,81,0,0,,,94,10155
546,330,20240123,19,210,140,150,220,100,,93,0,0,,,95,10149
547,330,20240123,20,220,150,160,230,110,,99,0,0,,,93,10139
548,330,20240123,21,220,150,150,220,103,,91,0,0,,,91,10133
549,330,20240123,22,220,160,160,240,106,,93,0,0,,,91,10129
550,330,20240123,23,220,160,180,240,107,,91,0,0,,,89,10119
551,330,20240123,24,220,170,160,250,109,87.0,92,0,0,,,89,10120
552,330,20240124,1,220,160,160,240,109,,96,0,0,,,91,10121
553,330,20240124,2,230,170,170,250,107,,95,0,0,,,92,10122
554,330,20240124,3,230,150,150,240,100,,90,0,0,,,93,10128
555,330,20240124,4,230,140,140,210,97,,80,0,0,,,88,10131
556,330,20240124,5,240,140,130,220,97,,68,0,0,,,81,10138
557,330,20240124,6,240,140,150,210,100,86.0,57,0,0,,,74,10146
558,330,20240124,7,250,150,150,220,100,,47,0,0,,,69,10159
559,330,20240124,8,240,150,150,200,98,,48,1,0,,,71,10173
560,330,20240124,9,250,140,140,210,100,,49,13,0,,,70,10184
561,330,20240124,10,250,150,150,200,101,,54,39,2,,,72,10196
562,330,20240124,11,250,140,150,210,100,,51,57,3,,,71,10208
563,330,20240124,12,250,140,130,200,99,92.0,55,68,5,,,73,10218
564,330,20240124,13,250,130,120,180,96,,52,54,2,,,74,10227
565,330,20240124,14,250,120,110,170,94,,52,37,0,,,75,10234
566,330,20240124,15,250,110,120,150,94,,51,25,0,,,74,10243
567,330,20240124,16,250,110,100,150,94,,49,7,0,,,73,10251
568,330,20240124,17,250,100,90,150,95,,47,0,0,,,71,10255
569,330,20240124,18,250,110,90,140,96,90.0,47,0,0,,,71,10261
570,330,20240124,19,260,90,90,130,93,,48,0,0,,,73,10265
571,330,20240124,20,250,80,80,120,92,,49,0,0,,,74,10270
572,330,20240124,21,260,80,80,120,90,,52,0,0,,,76,10272
573,330,20240124,22,270,90,100,130,85,,54,0,0,,,80,10276
574,330,20240124,23,270,80,80,120,78,,51,0,0,,,83,10278
575,330,20240124,24,280,80,70,100,72,67.0,52,0,0,,,86,10283
576,330,20240125,1,280,70,70,90,69,,50,0,0,,,87,10283
577,330,20240125,2,280,60,60,80,65,,50,0,0,,,90,10289
578,330,20240125,3,270,50,60,70,62,,48,0,0,,,91,10289
579,330,20240125,4,260,50,50,70,62,,48,0,0,,,90,10289
580,330,20240125,5,240,40,40,60,57,,43,0,0,,,90,10289
581,330,20240125,6,220,30,30,50,51,23.0,41,0,0,,,93,10292
582,330,20240125,7,230,40,50,60,52,,43,0,0,,,93,10292
583,330,20240125,8,220,40,30,60,50,,43,1,0,,,95,10292
584,330,20240125,9,180,30,30,50,57,,46,15,0,,,92,10291
585,330,20240125,10,180,50,50,70,64,,52,28,0,,,92,10287
586,330,20240125,11,190,50,60,70,72,,54,27,0,,,88,10285
587,330,20240125,12,190,60,40,80,82,27.0,54,37,0,,,82,10276
588,330,20240125,13,200,60,50,90,80,,68,43,0,,,92,10264
589,330,20240125,14,190,50,60,70,83,,71,31,0,,,91,10256
590,330,20240125,15,200,60,70,90,84,,75,10,0,,,94,10251
591,330,20240125,16,190,60,50,90,87,,80,3,0,,,95,10248
592,330,20240125,17,200,50,60,90,94,,89,0,0,,,96,10243
593,330,20240125,18,220,70,90,110,94,81.0,90,0,0,,,97,10242
594,330,20240125,19,210,80,80,130,95,,92,0,0,,,97,10238
595,330,20240125,20,220,80,80,130,95,,92,0,0,,,97,10236
596,330,20240125,21,230,80,80,140,93,,88,0,0,,,96,10233
597,330,20240125,22,210,80,70,120,91,,85,0,0,,,95,10227
598,330,20240125,23,220,80,90,130,93,,82,0,0,,,92,10223
599,330,20240125,24,210,90,100,130,98,89.0,86,0,0,,,92,10216
600,330,20240126,1,210,90,100,140,103,,91,0,0,,,92,10210
601,330,20240126,2,200,80,90,120,106,,92,0,0,,,90,10203
602,330,20240126,3,200,90,100,130,107,,94,0,0,,,91,10193
603,330,20240126,4,190,100,100,140,108,,97,0,0,,,92,10185
604,330,20240126,5,190,110,100,150,105,,99,0,0,,,95,10177
605,330,20240126,6,210,110,100,160,104,95.0,98,0,0,,,96,10174
606,330,20240126,7,230,120,140,190,107,,99,0,0,,,94,10176
607,330,20240126,8,230,130,120,190,97,,89,0,0,,,95,10183
608,330,20240126,9,280,140,120,230,88,,70,12,0,,,88,10199
609,330,20240126,10,290,130,120,180,84,,46,47,5,,,76,10223
610,330,20240126,11,280,130,130,200,84,,38,94,10,,,72,10243
611,330,20240126,12,290,130,130,190,81,78.0,28,108,10,,,69,10258
612,330,20240126,13,300,140,130,200,80,,25,108,10,,,68,10272
613,330,20240126,14,300,120,110,160,79,,23,90,10,,,67,10283
614,330,20240126,15,300,110,100,150,76,,27,59,10,,,70,10295
615,330,20240126,16,280,90,80,120,71,,31,22,7,,,75,10307
616,330,20240126,17,280,80,80,110,67,,33,1,0,,,79,10313
617,330,20240126,18,280,70,80,90,66,59.0,32,0,0,,,79,10320
618,330,20240126,19,280,70,70,90,66,,28,0,0,,,76,10327
619,330,20240126,20,270,60,70,100,63,,28,0,0,,,78,10333
620,330,20240126,21,270,60,60,90,59,,29,0,0,,,80,10335
621,330,20240126,22,260,60,60,80,63,,25,0,0,,,76,10336
622,330,20240126,23,240,50,40,70,61,,25,0,0,,,78,10340
623,330,20240126,24,240,40,40,70,52,42.0,31,0,0,,,86,10343
624,330,20240127,1,220,40,40,60,49,,32,0,0,,,88,10344
625,330,20240127,2,230,40,50,60,48,,33,0,0,,,90,10345
626,330,20240127,3,220,50,40,70,43,,31,0,0,,,92,10346
627,330,20240127,4,210,50,40,70,44,,34,0,0,,,93,10346
628,330,20240127,5,220,50,60,70,40,,32,0,0,,,94,10345
629,330,20240127,6,190,50,40,80,39,28.0,31,0,0,,,95,10345
630,330,20240127,7,200,50,50,70,38,,30,0,0,,,94,10348
631,330,20240127,8,190,40,40,60,35,,29,2,0,,,95,10348
632,330,20240127,9,200,50,40,60,46,,37,26,8,,,93,10352
633,330,20240127,10,210,50,50,60,59,,39,58,10,,,87,10356
634,330,20240127,11,210,50,50,80,68,,41,95,10,,,83,10357
635,330,20240127,12,220,50,50,80,74,27.0,41,106,10,,,79,10353
636,330,20240127,13,210,50,40,70,75,,30,88,9,,,73,10349
637,330,20240127,14,210,40,40,60,70,,31,47,0,,,76,10349
638,330,20240127,15,180,40,30,50,74,,34,52,8,,,75,10345
639,330,20240127,16,170,40,50,50,60,,31,22,7,,,81,10344
640,330,20240127,17,170,40,40,60,57,,34,0,0,,,85,10346
641,330,20240127,18,180,50,40,60,51,39.0,32,0,0,,,87,10342
642,330,20240127,19,180,50,50,60,47,,27,0,0,,,87,10343
643,330,20240127,20,170,50,50,60,45,,20,0,0,,,83,10340
644,330,20240127,21,180,50,50,70,45,,16,0,0,,,81,10337
645,330,20240127,22,150,40,50,60,44,,9,0,0,,,78,10332
646,330,20240127,23,180,50,40,60,42,,6,0,0,,,77,10326
647,330,20240127,24,180,50,50,60,37,26.0,5,0,0,,,79,10322
648,330,20240128,1,150,50,50,60,30,,1,0,0,,,81,10314
649,330,20240128,2,160,50,50,70,35,,2,0,0,,,78,10308
650,330,20240128,3,150,50,50,60,33,,-4,0,0,,,76,10303
651,330,20240128,4,150,50,50,60,28,,-10,0,0,,,75,10299
652,330,20240128,5,150,60,60,80,22,,-13,0,0,,,77,10293
653,330,20240128,6,150,60,60,80,36,10.0,-16,0,0,,,69,10288
654,330,20240128,7,150,70,70,90,35,,-20,0,0,,,67,10286
655,330,20240128,8,150,70,60,90,36,,-13,3,0,,,70,10280
656,330,20240128,9,150,60,60,80,52,,-11,30,8,,,64,10277
657,330,20240128,10,150,70,70,80,65,,-7,66,10,,,59,10274
658,330,20240128,11,150,70,70,80,77,,-7,94,10,,,55,10270
659,330,20240128,12,150,60,70,80,77,25.0,-8,76,8,,,54,10260
660,330,20240128,13,170,60,60,90,83,,2,96,10,,,56,10253
661,330,20240128,14,150,70,80,90,83,,5,61,5,,,57,10243
662,330,20240128,15,150,70,70,90,89,,7,42,8,,,56,10241
663,330,20240128,16,170,70,60,90,84,,8,18,7,,,58,10241
664,330,20240128,17,150,70,70,90,82,,11,1,0,,,61,10236
665,330,20240128,18,180,70,70,90,87,71.0,13,0,0,,,59,10234
666,330,20240128,19,170,60,70,80,82,,18,0,0,,,64,10236
667,330,20240128,20,180,70,70,90,81,,22,0,0,,,66,10235
668,330,20240128,21,180,80,80,100,76,,23,0,0,,,68,10233
669,330,20240128,22,180,70,80,90,75,,23,0,0,,,69,10234
670,330,20240128,23,170,70,70,80,69,,26,0,0,,,73,10233
671,330,20240128,24,200,70,80,110,71,62.0,29,0,0,,,74,10236
672,330,20240129,1,190,70,70,90,68,,30,0,0,,,76,10238
673,330,20240129,2,190,70,70,90,64,,30,0,0,,,79,10240
674,330,20240129,3,190,70,70,100,62,,32,0,0,,,81,10240
675,330,20240129,4,190,50,60,90,58,,32,0,0,,,83,10242
676,330,20240129,5,200,60,50,70,56,,31,0,0,,,84,10244
677,330,20240129,6,200,50,50,70,55,49.0,33,0,0,,,85,10245
678,330,20240129,7,190,50,50,70,58,,37,0,0,,,86,10247
679,330,20240129,8,200,60,60,80,57,,37,1,0,,,87,10251
680,330,20240129,9,180,60,60,80,61,,39,15,0,,,86,10252
681,330,20240129,10,190,60,70,80,76,,46,55,7,,,81,10257
682,330,20240129,11,190,70,60,90,92,,54,87,10,,,77,10258
683,330,20240129,12,190,60,60,80,101,50.0,59,97,10,,,75,10256
684,330,20240129,13,180,50,40,70,98,,61,64,2,,,77,10254
685,330,20240129,14,180,50,50,60,99,,63,68,7,,,77,10254
686,330,20240129,15,180,50,50,60,100,,64,63,10,,,78,10258
687,330,20240129,16,160,50,50,60,91,,63,19,8,,,82,10257
688,330,20240129,17,180,50,40,70,89,,67,1,0,,,85,10261
689,330,20240129,18,170,50,50,50,92,83.0,70,0,0,,,85,10258
690,330,20240129,19,170,50,60,60,96,,74,0,0,,,86,10257
691,330,20240129,20,180,70,70,90,96,,75,0,0,,,86,10256
692,330,20240129,21,180,70,70,100,98,,74,0,0,,,85,10253
693,330,20240129,22,190,70,70,100,97,,72,0,0,,,84,10250
694,330,20240129,23,190,70,70,90,97,,71,0,0,,,83,10249
695,330,20240129,24,180,80,80,90,96,87.0,70,0,0,,,83,10247
696,330,20240130,1,190,70,70,100,100,,71,0,0,,,82,10246
697,330,20240130,2,190,70,60,90,99,,71,0,0,,,82,10243
698,330,20240130,3,190,60,60,80,98,,71,0,0,,,83,10240
699,330,20240130,4,190,60,70,90,104,,74,0,0,,,81,10238
700,330,20240130,5,190,70,70,100,104,,75,0,0,,,81,10235
701,330,20240130,6,190,70,70,90,109,91.0,77,0,0,,,81,10236
702,330,20240130,7,190,80,80,110,107,,78,0,0,,,82,10237
703,330,20240130,8,220,80,70,110,103,,78,0,0,,,84,10245
704,330,20240130,9,220,90,110,150,95,,74,5,0,,,86,10250
705,330,20240130,10,220,110,100,170,87,,67,24,0,,,87,10258
706,330,20240130,11,220,110,110,160,81,,64,24,0,,,89,10260
707,330,20240130,12,220,100,90,160,83,79.0,60,37,0,,,85,10264
708,330,20240130,13,230,80,80,130,76,,69,30,0,,,95,10269
709,330,20240130,14,240,90,90,140,75,,71,16,0,,,97,10274
710,330,20240130,15,250,80,80,130,75,,70,8,0,,,96,10283
711,330,20240130,16,280,90,80,120,70,,68,6,0,,,98,10294
712,330,20240130,17,290,70,60,90,68,,64,1,0,,,97,10301
713,330,20240130,18,290,60,60,90,68,65.0,61,0,0,,,95,10312
714,330,20240130,19,310,60,60,80,68,,57,0,0,,,92,10319
715,330,20240130,20,320,60,50,80,66,,47,0,0,,,88,10326
716,330,20240130,21,320,50,50,80,64,,44,0,0,,,86,10333
717,330,20240130,22,340,60,50,90,60,,51,0,0,,,94,10338
718,330,20240130,23,320,50,60,70,58,,49,0,0,,,94,10338
719,330,20240130,24,320,40,30,60,60,50.0,51,0,0,,,93,10346
720,330,20240131,1,270,20,20,50,64,,35,0,0,,,82,10346
721,330,20240131,2,320,40,20,60,63,,35,0,0,,,82,10344
722,330,20240131,3,990,10,10,30,57,,38,0,0,,,87,10338
723,330,20240131,4,210,30,30,50,60,,36,0,0,,,84,10337
724,330,20240131,5,210,30,30,40,61,,40,0,0,,,86,10336
725,330,20240131,6,200,40,40,60,63,51.0,34,0,0,,,81,10330
726,330,20240131,7,220,40,40,60,62,,38,0,0,,,84,10337
727,330,20240131,8,200,40,50,70,66,,36,1,0,,,80,10336
728,330,20240131,9,190,50,50,80,67,,43,9,0,,,84,10328
729,330,20240131,10,200,60,50,80,66,,49,15,0,,,89,10330
730,330,20240131,11,200,60,70,90,73,,34,25,0,,,76,10320
731,330,20240131,12,210,80,70,120,76,58.0,22,49,2,,,68,10310
732,330,20240131,13,210,80,80,120,79,,24,60,3,,,68,10301
733,330,20240131,14,210,90,90,120,76,,24,29,0,,,69,10292
734,330,20240131,15,220,90,100,160,74,,28,36,5,,,72,10289
735,330,20240131,16,210,100,100,150,73,,28,12,5,,,73,10277
736,330,20240131,17,220,110,110,170,75,,31,1,0,,,73,10274
737,330,20240131,18,210,110,110,160,73,70.0,32,0,0,,,75,10267
738,330,20240131,19,200,110,100,150,70,,31,0,0,,,76,10256
739,330,20240131,20,210,110,110,160,68,,34,0,0,,,78,10251
740,330,20240131,21,220,110,120,170,78,,47,0,0,,,80,10248
741,330,20240131,22,220,120,120,170,78,,55,0,0,,,85,10240
742,330,20240131,23,230,110,100,170,79,,71,0,0,,,94,10240
743,330,20240131,24,240,110,110,170,90,65.0,84,0,0,,,95,10242
